ID|transcription|normalized transcription
aan de andere kant ontmoette hij een eenvoudig meisje gekleed in haveloze kleren|aan de andere kant ontmoette hij een eenvoudig meisje gekleed in haveloze kleren|aan de andere kant ontmoette hij een eenvoudig meisje gekleed in haveloze kleren
aan het einde van het veld waren er rotsen en struiken|aan het einde van het veld waren er rotsen en struiken|aan het einde van het veld waren er rotsen en struiken
achter hen hing een taxistandplaats een foto van meneer Mandela|achter hen hing een taxistandplaats een foto van meneer Mandela|achter hen hing een taxistandplaats een foto van meneer Mandela
achtervolg dit varken alsjeblieft|achtervolg dit varken alsjeblieft|achtervolg dit varken alsjeblieft
afranklin temperaturen onder de graad er zijn ook harde wind|afranklin temperaturen onder de graad er zijn ook harde wind|afranklin temperaturen onder de graad er zijn ook harde wind
Ajax Kaapstad en Juventus speelden gelijkmatig|Ajax Kaapstad en Juventus speelden gelijkmatig|Ajax Kaapstad en Juventus speelden gelijkmatig
al snel spruitten zijn zaden uit de grond op zoek naar zon|al snel spruitten zijn zaden uit de grond op zoek naar zon|al snel spruitten zijn zaden uit de grond op zoek naar zon
al zijn haar was verbrand in het vuur|al zijn haar was verbrand in het vuur|al zijn haar was verbrand in het vuur
alberton graden zijn graden|alberton graden zijn graden|alberton graden zijn graden
alle dieren hadden zachte grond nodig en geen cement of beton|alle dieren hadden zachte grond nodig en geen cement of beton|alle dieren hadden zachte grond nodig en geen cement of beton
als het tijd is om naar bed te gaan, zingt hij voor ons totdat we in slaap vallen|als het tijd is om naar bed te gaan, zingt hij voor ons totdat we in slaap vallen|als het tijd is om naar bed te gaan, zingt hij voor ons totdat we in slaap vallen
als ik een traditioneel drankje had, zou het goed passen bij mijn diner vanavond|als ik een traditioneel drankje had, zou het goed passen bij mijn diner vanavond|als ik een traditioneel drankje had, zou het goed passen bij mijn diner vanavond
als ze op weg naar huis van school huilt, bezoekt ze een sinaasappelboom|als ze op weg naar huis van school huilt, bezoekt ze een sinaasappelboom|als ze op weg naar huis van school huilt, bezoekt ze een sinaasappelboom
als ze ziek waren, was er niemand om hen te helpen|als ze ziek waren, was er niemand om hen te helpen|als ze ziek waren, was er niemand om hen te helpen
als zijn vrienden probeerden de rivier over te steken, zouden ze allemaal verdrinken|als zijn vrienden probeerden de rivier over te steken, zouden ze allemaal verdrinken|als zijn vrienden probeerden de rivier over te steken, zouden ze allemaal verdrinken
Arsenal en club atl tico de madrid speelden zaterdag op Outeniqua Park|Arsenal en club atl tico de madrid speelden zaterdag op Outeniqua Park|Arsenal en club atl tico de madrid speelden zaterdag op Outeniqua Park
auto en Lamboo vinden een klaslokaal|auto en Lamboo vinden een klaslokaal|auto en Lamboo vinden een klaslokaal
bedankt dat je de speler op de vleugel hebt laten scoren|bedankt dat je de speler op de vleugel hebt laten scoren|bedankt dat je de speler op de vleugel hebt laten scoren
behaalde de derde plaats in de recent gevormde economische bevrijdingsbeweging|behaalde de derde plaats in de recent gevormde economische bevrijdingsbeweging|behaalde de derde plaats in de recent gevormde economische bevrijdingsbeweging
bekend als een van de meest waardevolle parken|bekend als een van de meest waardevolle parken|bekend als een van de meest waardevolle parken
beweert het eerste nieuws- en chatkanaal in Johannesburg te zijn|beweert het eerste nieuws- en chatkanaal in Johannesburg te zijn|beweert het eerste nieuws- en chatkanaal in Johannesburg te zijn
beïnvloedt temperaturen van vier graden|beïnvloedt temperaturen van vier graden|beïnvloedt temperaturen van vier graden
bidvest wits en bloem celtic spelen dinsdagochtend bij goble park|bidvest wits en bloem celtic spelen dinsdagochtend bij goble park|bidvest wits en bloem celtic spelen dinsdagochtend bij goble park
bidvest wits neaston villa spelen op zaterdagavond in outeniqua park|bidvest wits neaston villa spelen op zaterdagavond in outeniqua park|bidvest wits neaston villa spelen op zaterdagavond in outeniqua park
bij de volgende sprong sprong hij de stad in|bij de volgende sprong sprong hij de stad in|bij de volgende sprong sprong hij de stad in
